location_level_1,location_level_2,location_level_3,location_group
Kuala Lumpur,Ampang,,
Kuala Lumpur,Ampang Hilir,,
Kuala Lumpur,Bandar Damai Perdana,,
Kuala Lumpur,Bandar Menjalara,,
Kuala Lumpur,Bandar Tasik Selatan,,
Kuala Lumpur,Bangsar,,
Kuala Lumpur,Batu Caves,,
Kuala Lumpur,Brickfields,,
Kuala Lumpur,Bukit Bintang,,
Kuala Lumpur,Bukit Jalil,,
Kuala Lumpur,Bukit Kiara,,
Kuala Lumpur,Bukit Ledang,,
Kuala Lumpur,Bukit Tunku (Kenny Hills),,
Kuala Lumpur,Chan Sow Lin,,
Kuala Lumpur,Cheras,,
Kuala Lumpur,City Centre,,
Kuala Lumpur,Country Heights Damansara,,
Kuala Lumpur,Damansara,,
Kuala Lumpur,Damansara Heights,,
Kuala Lumpur,Desa Pandan,,
Kuala Lumpur,Desa ParkCity,,
Kuala Lumpur,Desa Petaling,,
Kuala Lumpur,Dutamas,,
Kuala Lumpur,Federal Hill,,
Kuala Lumpur,Jalan Ipoh,,
Kuala Lumpur,Jalan Klang Lama (Old Klang Road),,
Kuala Lumpur,Jalan Kuching,,
Kuala Lumpur,Jalan Sultan Ismail,,
Kuala Lumpur,Jinjang,,
Kuala Lumpur,Kampung Kerinchi (Bangsar South),,
Kuala Lumpur,Kepong,,
Kuala Lumpur,Keramat,,
Kuala Lumpur,KL City,,
Kuala Lumpur,KL Eco City,,
Kuala Lumpur,KL Sentral,,
Kuala Lumpur,KLCC,,
Kuala Lumpur,Kuchai Lama,,
Kuala Lumpur,Mid Valley City,,
Kuala Lumpur,Mont Kiara,,
Kuala Lumpur,OUG,,
Kuala Lumpur,Pandan Indah,,
Kuala Lumpur,Pandan Jaya,,
Kuala Lumpur,Pandan Perdana,,
Kuala Lumpur,Pantai,,
Kuala Lumpur,Puchong,,
Kuala Lumpur,Salak Selatan,,
Kuala Lumpur,Segambut,,
Kuala Lumpur,Sentul,,
Kuala Lumpur,Seputeh,,
Kuala Lumpur,Setapak,,
Kuala Lumpur,Setiawangsa,,
Kuala Lumpur,Sri Hartamas,,
Kuala Lumpur,Sri Petaling,,
Kuala Lumpur,Sungai Besi,,
Kuala Lumpur,Sungai Penchala,,
Kuala Lumpur,Sunway SPK,,
Kuala Lumpur,Taman Desa,,
Kuala Lumpur,Taman Duta,,
Kuala Lumpur,Taman Melawati,,
Kuala Lumpur,Taman Tun Dr Ismail,,
Kuala Lumpur,Titiwangsa,,
Kuala Lumpur,Wangsa Maju,,
Johor,Ayer Baloi,,
Johor,Ayer Hitam,,
Johor,Bakri,,
Johor,Batu Anam,,
Johor,Batu Pahat,,
Johor,Bekok,,
Johor,Benut,,
Johor,Bukit Gambir,,
Johor,Bukit Pasir,,
Johor,Bukit Serampang,,
Johor,Chaah,,
Johor,Endau,,
Johor,Gelang Patah,,
Johor,Gerisek,,
Johor,Gugusan Taib Andak,,
Johor,Horizon Hills,,
Johor,Iskandar Puteri (Nusajaya),,
Johor,Jementah,,
Johor,Johor Bahru,,
Johor,Kahang,,
Johor,Kampung Kenangan Tun Dr Ismail,,
Johor,Kluang,,
Johor,Kota Tinggi,,
Johor,Kukup,,
Johor,Kulai,,
Johor,Labis,,
Johor,Layang Layang,,
Johor,Masai,,
Johor,Medini,,
Johor,Mersing,,
Johor,Muar,,
Johor,Pagoh,,
Johor,Paloh,,
Johor,Panchor,,
Johor,Parit Jawa,,
Johor,Parit Raja,,
Johor,Parit Sulong,,
Johor,Pasir Gudang,,
Johor,Pekan Nanas,,
Johor,Pengerang,,
Johor,Perling,,
Johor,Permas Jaya,,
Johor,Plentong,,
Johor,Pontian,,
Johor,Puteri Harbour,,
Johor,Rengam,,
Johor,Rengit,,
Johor,Segamat,,
Johor,Semerah,,
Johor,Senai,,
Johor,Senggarang,,
Johor,Senibong,,
Johor,Seri Gadang,,
Johor,Setia Indah,,
Johor,Setia Tropika,,
Johor,Simpang Rengam,,
Johor,Skudai,,
Johor,Sungai Mati,,
Johor,Tampoi,,
Johor,Tangkak,,
Johor,Tebrau,,
Johor,Ulu Tiram,,
Johor,Yong Peng,,
Selangor,Alam Impian,,
Selangor,Aman Perdana,,
Selangor,Ambang Botanic,,
Selangor,Ampang,,
Selangor,Ara Damansara,,
Selangor,Balakong,,
Selangor,Bandar Botanic,,
Selangor,Bandar Bukit Raja,,
Selangor,Bandar Bukit Tinggi,,
Selangor,Bandar Kinrara,,
Selangor,Bandar Mahkota Cheras,,
Selangor,Bandar Puncak Alam,,
Selangor,Bandar Puteri Klang,,
Selangor,Bandar Puteri Puchong,,
Selangor,Bandar Saujana Putra,,
Selangor,Bandar Sri Damansara,,
Selangor,Bandar Sungai Long,,
Selangor,Bandar Sunway,,
Selangor,Bandar Utama,,
Selangor,Bangi,,
Selangor,Banting,,
Selangor,Batang Berjuntai,,
Selangor,Batang Kali,,
Selangor,Batu Arang,,
Selangor,Batu Caves,,
Selangor,Beranang,,
Selangor,Bukit Beruntung,,
Selangor,Bukit Jelutong,,
Selangor,Bukit Rahman Putra,,
Selangor,Bukit Rotan,,
Selangor,Bukit Subang,,
Selangor,Cheras,,
Selangor,Country Heights,,
Selangor,Cyberjaya,,
Selangor,Damansara Damai,,
